                               Injury Log -- All players in database                                
                                           Regular season                                           

      Date  #  Team    Player              Cause                Dur 
 6/10/1988     FHK     Sabo                Hit by pitch          15 
 5/22/1988     BMB     Salas               General                8 
 6/26/1988     BMB     Salas               General                6 
 5/26/1988     SUN     Salazar             General                5 
 7/12/1988     SUN     Salazar             Hit by pitch          13 
 7/27/1988     NEE     Santiago            General                6 
  5/8/1988     CTW     Santovenia          General                8 
 8/19/1988     CTW     Schmidt             General                4 
 4/17/1988     CCC     Scioscia            Collision in field    32 
  6/5/1988     SUN     Sheridan            General                1 
 8/10/1988     SUN     Sheridan            General                1 
 6/13/1988     SUN     Show                General                5 
 7/26/1988     SUN     Show                General                5 
 4/26/1988     ES?     Sierra              General                1 
 5/24/1988     ES?     Sierra              General                5 
 7/28/1988     RYK     Skinner             Collision in field    40 
 4/15/1988     EVN     Smiley              General               15 
 4/12/1988     BAR     Smith               General                4 
 4/30/1988     BAR     Smith               General               11 
  9/8/1988     MAR     Smith,P             General                5 
  4/6/1988     SUN     Snyder              General                2 
 4/14/1988     SUN     Snyder              General               15 
 8/15/1988     BMB     Stanicek            General                7 
  4/7/1988     BMB     Steinbach           General               12 
  5/2/1988     EVN     Stieb               General               15 
  9/3/1988     EVN     Stieb               General                5 
 4/15/1988     SUN     Stillwell           General                3 
 4/25/1988     SUN     Stillwell           General                2 
 8/18/1988     RYK     Sveum               Collision on bases    23 
                               Injury Log -- All players in database                                
                                           Regular season                                           

      Date  #  Team    Player              Cause                Dur 
 7/17/1988     NFG     Swift               General                4 
 4/11/1988     CCC     Swindell            General               10 
 6/29/1988     BBG     Templeton           General                3 
 6/26/1988     NEE     Teufel              General               27 
  7/2/1988     CIN     Thompson            General                2 
 6/30/1988     NEE     Thon                Hit by pitch          27 
 4/17/1988     BAR     Tudor               General               10 
  6/1/1988     BAR     Tudor               General               30 
  8/5/1988     MAR     Valle               General               11 
 6/30/1988     FER     Velarde             General                1 
  4/5/1988     RYK     Virgil              General                1 
 4/26/1988     FER     Wallach             General                1 
 8/26/1988     MAR     Washington          General               10 
  8/5/1988     BAR     Webster             General                1 
 5/12/1988     CIN     Welch               Brawl                 20 
 5/23/1988     SUN     Whitaker            General                1 
 5/10/1988     TEW     White               General                5 
 8/22/1988     BBG     Whitt               General                6 
  4/9/1988     CEN     Wilkerson           General                6 
  5/8/1988     CEN     Wilkerson           Collision on bases    19 
 4/30/1988     BAR     Williamson          General               10 
 6/15/1988     CEN     Wilson              General                7 
 9/27/1988     EVN     Wilson              General                8 
 6/11/1988     CEN     Wynegar             General                7 

