                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
German Jimenez*         NEE    sp  25   1   0   0   0  0  0  2  1  14.3   0.8  15.0   3.0   1.5 
Tommy John*             FER    sp  45   2   1   4   2  1  1  1  0   7.9   2.1  10.3   2.7   0.0 
Randy Johnson*          BMB    sp  24   1   1   0   1  2  0  2  0  11.6   1.7  13.7   8.2   0.7 
Barry Jones             GBP    mr  25   6   1   0   1  7  2  2  2  10.3   2.7  13.2   6.8   1.1 
Doug Jones              FHK    cl  31   4   4   0   3  2  1  0  3   6.9   1.4   8.6   5.3   0.2 
Jimmy Jones             RYK    sp  24  22   4   0   6  1  1  9  3  11.1   3.2  14.6   4.4   0.5 
Odell Jones             BBG    mr  35   1   1   0   0  0  0  2  1   9.3   5.4  14.7   5.4   0.0 
Jimmy Key*              NEE    sp  27   5   7   1   9  0  0  6  3   8.6   1.5  10.8   4.4   1.1 
Paul Kilgus*            FER    sp  26   2   0   2   5  0  0  2  0   8.1   1.8  10.4   3.1   1.0 
Eric King               BAR    mr  24   8   3   1   5  4  1  2  2   8.1   5.0  13.7   6.6   0.5 
Bob Kipper*             ES?    mr  23   0   1   0   2  1  3  1  1   9.6   3.3  13.3   6.8   0.8 
Bob Knepper*            MAR    sp  34   3   0   1   1  2  2  4  0   8.9   3.0  12.0   6.0   0.5 
Mark Knudson            FER    mr  27   2   0   1   0  0  2  0  0  12.7   1.7  14.3   4.2   1.7 
Bill Krueger*           CCC    sp  30   1   0   1   0  0  0  0  0  27.0  11.6  38.6   0.0   3.9 
Mike Krukow             EVN    sp  36   5   0   1   3  4  1  7  2   6.8   1.8   9.0   4.3   0.5 
Mike LaCoss             GBP    sp  32   9   6   0   0  2  1  3  2   8.2   3.6  11.8   5.5   0.9 
Dennis Lamp             ES?    mr  35   9   2   2   2  0  5  6  3   8.7   1.7  10.6   4.3   0.3 
Lester Lancaster        ES?    mr  26   2   4   1   3  2  1  5  1  11.3   2.6  14.3   4.2   0.4 
Bill Landrum            ES?    mr  30   0   0   0   0  1  0  1  1  17.5   0.7  18.2   2.0   0.0 
Mark Langston*          ES?    sp  27  17  11   2   2  4  4 13  7   8.2   2.9  11.2   8.2   1.0 
Dave LaPoint*           CTW    sp  28  10   9   0   1  0  7  5  4   9.4   2.1  11.6   4.6   0.9 
Bill Laskey             NEE    mr  30   1   3   1   1  3  2  0  0  13.3   3.5  17.2   5.5   0.4 
Charlie Lea             CCC    sp  31   4   3   2   0  3  3  3  4  12.2   3.1  15.3   6.3   1.8 
Terry Leach             SUN    mr  34   8   2   2   0  0  0  4  4   8.9   2.6  11.5   4.4   0.2 
Tim Leary               CCC    sp  29   0   1   0   0  0  0  0  1  10.8   5.4  16.2   4.0   2.7 
Tim Leary               CIN    sp  29   8   0   0   1  1  0  2  0   8.7   1.6  10.5   5.8   0.6 
Tim Leary                      sp  29   8   1   0   1  1  0  2  1   8.9   2.0  11.1   5.7   0.8 
Mark Lee*               GBP    mr  23   0   0   1   0  0  0  0  1   5.4   3.6   9.0   0.0   0.0 
Craig Lefferts*         BBG    mr  30   5   4   1   1  3  0  3  2   7.3   2.3   9.7   5.3   0.8 
Charlie Leibrandt*      GBP    sp  31  11   8   3   8  3  2  9  8   9.5   1.9  11.7   4.7   1.2 
Dave Leiper*            BAR    mr  26   1   3   2   0  2  0  2  2   9.1   2.6  11.7   5.9   0.5 
Al Leiter*              SUN    sp  22   4   4   1   5  0  5  2  0  10.4   3.7  15.0  10.0   2.0 
Bill Long               FER    mr  28  12   6  10   2  0  0  4  3  10.9   2.7  13.7   3.6   1.1 
Greg Maddux             BMB    sp  22  15   8   0   5  4  1  8  7   9.5   2.8  12.5   4.1   0.6 
Mike Maddux             CCC    mr  26   3   3   4   9  0  1  7  0  11.3   3.2  15.7   6.7   0.5 
Alex Madrid             SUN    mr  25   0   1   0   0  1  0  0  2   7.2   3.1  10.3   0.0   0.4 
Joe Magrane*            CTW    sp  23   9   5   0   3  5  1  6  3   7.1   2.5   9.8   4.7   0.8 
Joe Magrane*            EVN    sp  23   3   3   2   0  1  4  3  0   7.2   4.0  11.2   3.8   0.5 
Joe Magrane*                   sp  23  12   8   2   3  6  5  9  3   7.1   2.9  10.2   4.4   0.7 
Rick Mahler             RYK    sp  34  23  10   1   6  1 10  9  7  10.6   1.1  12.0   4.0   0.6 
Dennis Martinez         NEE    sp  33  15   7   1   6  5  9 10  6   9.4   2.4  12.1   4.9   1.2 
Ramon Martinez          SUN    sp  20   2   2   0   0  1  0  1  1   6.4   4.3  10.6   4.3   0.2 
Greg Mathews*           RYK    sp  26   3   0   0   0  2  2  5  0   6.2   3.9  10.1   5.1   0.3 
Tom McCarthy            CEN    mr  27   3   0   2   2  0  0  0  1   7.6   3.5  12.5   2.1   0.0 
Kirk McCaskill          MAR    sp  27   1   2   2   1  6  1  5  2   8.3   3.7  12.1   7.0   0.4 
Kirk McCaskill          ES?    sp  27   3   4   0   1  5  2  7  1   8.3   2.8  11.3   6.0   0.2 
Kirk McCaskill                 sp  27   4   6   2   2 11  3 12  3   8.3   3.2  11.6   6.4   0.3 
Bob McClure*            ES?    mr  36   3   1   1   2  1  0  0  0  10.3   4.0  15.1   6.4   1.2 
Lance McCullers         MAR    mr  24   5   1   2   0  5  2  2  3   8.3   6.0  14.4   7.7   1.2 
Jack McDowell           ES?    sp  22  14   5   1   4  9  1  6  3  10.1   3.6  14.0   5.8   0.5 
Roger McDowell          RYK    cl  27   3   2   0   1 10  0  2  4   8.7   3.7  12.6   4.4   0.0 
Andy McGaffigan         GBP    mr  31   7   6   0   3  1  0  6  2   7.2   5.2  12.8   8.5   0.5 
Craig McMurtry          CEN    mr  28   5   2   0   3  1  0  0  3   6.0   3.0   9.4   5.8   0.3 
Larry McWilliams*       FER    mr  34   1   0   1   2  2  0  2  2   6.9   1.5   8.9   4.6   0.4 
Dave Meads*             SUN    mr  24   1   2   2   0  0  0  1  1   9.7   4.6  14.3   6.0   1.2 
Scott Medvin            BAR    mr  26   1   1   1   0  3  0  0  1   7.0   1.6   8.6   7.0   0.0 
Brian Meyer             GBP    mr  25   0   0   0   0  0  0  1  1  10.0   6.0  16.0   7.0   0.0 
Bob Milacki             SUN    sp  23   3   2   0   1  2  0  2  1   5.5   4.3  10.1   6.4   0.9 
Greg Minton             CEN    mr  36   7   1   2   4  3  0  3  1   7.8   3.3  11.5   5.6   0.7 
Paul Mirabella*         CEN    mr  34   2   3   3   1  2  1  2  2   8.8   3.4  12.4   5.2   0.2 
Dale Mohorcic           NEE    mr  32   2   0   0   3  0  0  2  2  12.2   2.8  16.0   4.7   1.3 
Rich Monteleone         FHK    mr  25   0   1   0   2  1  0  0  0  27.0   0.0  33.0   6.0   0.0 
Jeff Montgomery         BAR    mr  26   1   2   1   0  7  4  4  1   8.7   2.7  11.4   6.6   1.5 
Brad Moore              CTW    mr  24   0   0   0   0  0  0  0  0   4.9   7.4  12.3   9.8   0.0 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age  SB  CS  IW HBP WP BK SH SF   H/9  BB/9   R/9   K/9  HR/9 
Mike Moore              CEN    sp  28  12   2   0   9  1  1  9  2   6.9   1.8   9.1   7.3   0.5 
Mike Morgan             ES?    mr  28   6   5   1   4  3  0  3  5  10.7   3.5  14.8   2.8   0.6 
Jack Morris             TEW    sp  33  17   5   1   6  9 11  9  7   9.4   2.1  11.7   5.2   0.4 
Jamie Moyer*            BAR    sp  25  17  10   2   7  3  0  7  2   7.6   2.0   9.9   5.3   0.8 
Terry Mulholland*       CCC    sp  25   3   0   4   2  1  0  3  1  14.4   1.6  16.4   3.2   1.0 
Rob Murphy*             BBG    mr  28   3   1   0   1  6  1  1  1   7.9   4.5  12.7   7.9   0.3 
Jeff Musselman*         BAR    sp  25   4   5   2   1  0  3  3  3   7.7   2.1   9.9   4.5   0.3 
Randy Myers*            CIN    cl  25   3   4   2   0  1  0  1  1   7.3   1.9   9.2   9.0   0.9 
Gene Nelson             CEN    mr  27   7   3   1   0  3  0  6  2   8.2   2.3  10.5   6.1   0.4 
Rod Nichols             NEE    sp  23  10   0   1   1  2  0  2  2   9.3   2.4  11.8   4.2   0.6 
Juan Nieves*            CEN    sp  23   4   0   0   1  3  0  1  0   5.4   2.1   7.7   4.8   0.6 
Al Nipper               SUN    sp  29   4   3   0   0  0  0  2  2   9.6   2.5  12.1   2.5   1.4 
Ed Nunez                GBP    mr  25   3   1   2   0  0  1  2  3  10.4   4.8  15.2   7.2   1.7 
Jose Nunez              ES?    mr  24   0   0   0   1  1  0  0  1   9.8   0.0  12.3   7.4   0.0 
Randy O'Neal            RYK    sp  27   1   1   0   2  2  0  3  0   6.8   1.2   8.4   3.3   1.0 
Bobby Ojeda*            TEW    sp  30   5   5   1   1  1  6  7  3   6.6   1.8   8.5   6.1   0.4 
Gregg Olson             CEN    mr  21   2   1   0   0  0  1  0  0   9.0   7.4  16.4   8.2   0.0 
Steve Ontiveros         BMB    sp  27   1   4   0   1  6  4  1  4  10.6   2.2  13.0   5.4   0.7 
Jesse Orosco*           ES?    mr  31   1   3   0   4  2  1  2  4   8.1   5.2  14.0   6.1   0.8 
Vincente Palacios       BMB    sp  24   6   2   1   1  1  0  1  1  10.9   7.7  19.0   4.7   0.4 
Donn Pall               MAR    mr  26   3   1   0   1  0  0  0  1  11.7   2.2  14.6   2.2   0.7 
David Palmer            EVN    sp  30   1   0   0   0  0  0  1  0  17.2   7.4  24.5   4.9   0.0 
Jeff Parrett            NFG    mr  26   4   2   0   1  2  0  3  1   7.9   3.7  11.7   5.8   1.5 
Ken Patterson*          CCC    mr  23   0   1   2   1  1  1  1  0  11.4   5.2  17.1   2.6   0.5 
Alejandro Pena          CIN    mr  29   5   3   2   2  3  1  2  2   7.8   1.8   9.8   8.3   0.6 
Hipolito Pena*          CTW    mr  24   2   1   2   0  0  0  1  0  14.7   3.7  18.4   4.9   1.2 
Melido Perez            FER    sp  22  11   0   6   0 17  1  9  6   8.9   3.4  12.3   7.0   1.1 
Pascual Perez           SUN    sp  31  12   5   0   6  3 15  6  7   9.0   3.3  12.6   6.8   0.8 
Pat Perry*              NFG    mr  29   9   5   0   1  1  0  5  2   8.4   3.6  12.1   5.0   0.6 
Jeff Pico               TEW    mr  22   2   6  11   0  3  1  3  2   9.5   3.3  12.8   5.8   0.5 
Dan Plesac*             FER    cl  26   1   1   2   2  1  4  2  2   9.3   2.8  12.6   5.8   0.3 
Eric Plunk              FER    mr  24   8   4   1   1  4  4  0  2   7.0   3.5  10.6  10.9   0.4 
Mark Portugal           NFG    mr  25   2   1   1   1  3  2  2  2  12.6   6.6  19.3   4.5   3.2 
Ted Power               BMB    sp  33   5   8   2   4  5  5  7  5  11.8   2.8  15.0   4.8   0.6 
Joe Price*              RYK    mr  31   3   2   2   0  1  4  5  4   8.4   2.6  11.0   7.4   0.9 
Charlie Puleo           FER    mr  33   5   3  13   1  0  1  3  1   8.7   4.9  13.7   6.4   0.4 
Dan Quisenberry         NFG    mr  35   8   1   4   1  4  3  4  1  13.9   1.8  15.9   4.4   0.4 
Dennis Rasmussen*       MAR    sp  29  16  10   0   6  6  3  5  7   7.6   1.9   9.8   5.1   0.8 
Shane Rawley*           GBP    sp  32   0   0   0   0  0  0  1  0   4.9   4.9   9.8   0.0   2.5 
Jeff Reardon            CTW    cl  32   6   2   1   2  0  4  3  1   8.6   0.9   9.8   5.6   0.9 
Jerry Reed              CTW    mr  32   0   0   1   0  0  1  2  0   7.4   1.7   9.1   7.4   0.9 
Jerry Reed              EVN    mr  32   3   3   3   0  0  1  4  0   8.7   3.9  12.5   7.0   0.0 
Jerry Reed                     mr  32   3   3   4   0  0  2  6  0   8.4   3.3  11.7   7.1   0.2 
Rick Reed               TEW    sp  22   0   0   0   0  0  0  0  0   9.9   3.6  13.5   3.6   0.0 
Rick Reuschel           RYK    sp  39   7   7   0   6  5  0  7  1   8.7   1.2  10.2   2.6   0.5 
Jerry Reuss*            FHK    sp  39   5   3   2  10  1  2  8  3   7.5   1.6   9.7   3.3   0.5 
Dave Righetti*          BAR    cl  29   1   1   0   1  1  3  3  3   8.4   4.1  12.6   6.8   0.6 
Jose Rijo               GBP    mr  23  18   2   1   2  0  3  9  1   7.0   3.4  10.5   8.5   0.6 
Wally Ritchie*          CTW    mr  22   3   0   0   1  2  0  1  1   6.3   6.7  13.3   3.3   0.7 
Don Robinson            TEW    mr  31  11   9   2   6  6  3  6  3   7.8   3.0  11.1   6.1   0.8 
Jeff Robinson           EVN    mr  27   5   1   4   3  9  0  2  1   9.2   2.9  12.4   6.0   0.7 
Jeff M. Robinson        CEN    sp  26   6   4   1   2  3  0  6  2   7.3   2.4   9.8   6.1   0.8 
Ron Robinson            SUN    sp  26   8   4   0   0  3  0  2  2   9.2   2.8  12.0   3.4   0.6 
Bruce Ruffin*           BMB    mr  24   9   6   0   2  5  0  8  3   9.5   3.9  13.6   4.6   0.6 
Jeff Russell            ES?    sp  26  20   4   1   5  3  8 13  7  10.8   3.1  14.2   3.7   0.7 
Nolan Ryan              ES?    sp  41  37   7   0   9  6  3 12  5   8.6   3.1  12.1   9.5   1.3 
Bret Saberhagen         BBG    sp  24   6   5   0   7  4  0  8 12   9.7   1.5  11.5   5.3   0.7 
Roger Samuels*          CIN    mr  27   1   0   1   0  0  0  0  0  10.6   3.5  14.1   9.4   7.0 
Israel Sanchez*         MAR    mr  24   2   2   1   0  0  1  1  3   8.5   3.8  12.3   4.3   0.5 
Scott Sanderson         CCC    mr  31   0   1   2   0  1  0  1  0   4.1   1.5   5.6   1.5   0.0 
Rich Sauveur*           NFG    mr  24   0   0   0   0  0  0  0  0  10.6   1.2  11.7   4.7   1.2 
Dan Schatzeder*         BMB    mr  33   0   1   0   3  1  0  1  1  14.5   1.3  16.8   5.3   2.6 
Curt Schilling          BAR    sp  21   3   1   2   0  1  0  0  0   9.9   5.0  14.9   1.7   0.6 
Calvin Schiraldi        TEW    sp  26  13   1   8   2  3  1  3  2   8.5   5.7  14.5   8.4   0.4 
Dave Schmidt            FHK    mr  31   2   0   0   0  0  0  0  0  22.5   0.0  22.5   4.5   0.0 
Mike Schooler           NEE    cl  25   5   3   2   4  4  3  4  2   5.0   3.8   9.4   8.9   0.9 
Mike Scott              BBG    sp  33  31   5   1   8  0  0 12  5   7.3   2.3   9.9   8.0   0.8 
Scott Service           NEE    mr  21   1   0   0   0  0  0  0  0  15.3   7.0  22.3   8.2   0.0 
Jeff Shaver             CTW    mr  24   0   0   0   6  1  0  0  0   9.0   2.6  19.3   0.0   1.3 
Steve Shields           BMB    mr  29   7   1   4   2  2  1  4  5  10.0   4.0  14.3   5.6   0.6 
Eric Show               SUN    sp  32  21   4   2   5  7  3  2  5   9.0   2.6  11.9   5.9   0.9 
John Smiley*            EVN    sp  23  18   8   6   5  3  5  7  1   8.1   2.7  11.0   5.5   1.0 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age  SB  CS  IW HBP WP BK SH SF   H/9  BB/9   R/9   K/9  HR/9 
Bryn Smith              EVN    sp  32  12   8   0   7  2  8  4  6   8.1   1.7  10.1   5.6   0.9 
Dave Smith              BMB    cl  33   4   3   3   1  5  2  3  2  11.8   3.7  15.7   6.2   0.6 
Lee Smith               BAR    cl  30   7   2   1   0  3  0  3  4   5.8   2.8   8.6  10.7   0.5 
Mike Smith              BAR    mr  27   2   1   0   0  0  1  1  1   6.5   5.6  12.1   2.8   0.0 
Pete Smith              MAR    sp  22   9   4   0   1  1  3  3  2   7.2   3.8  11.1   5.6   0.6 
Roy Smith               CEN    sp  26   2   2   3   3  2  1  1  1   6.2   4.3  11.1   2.8   0.0 
Zane Smith*             FER    sp  27   3   5  11   0  1  1  2  2   9.9   2.8  12.7   3.9   0.4 
Zane Smith*             NFG    sp  27   0   0   0   0  0  0  0  0   0.0   0.0   0.0   0.0   0.0 
Zane Smith*                    sp  27   3   5  11   0  1  1  2  2   9.8   2.8  12.6   3.9   0.4 
Mike Smithson           GBP    sp  33   4   0   1   2  1  1  1  0  10.4   1.4  12.6   4.3   0.7 
John Smoltz             BMB    sp  21  12   2   0   0  3  2  1  5  11.8   4.8  16.6   4.1   1.0 
Julio Solano            CTW    mr  28   0   0   0   0  0  0  0  0   7.7   0.0   7.7   7.7   1.9 
Mario Soto              CIN    sp  31   5   4   0   2  0  3  2  1   6.9   2.1   9.4   2.8   0.9 
Bob Stanley             CTW    mr  33   0   0   2   2  1  0  1  1   7.1   2.8  10.5   5.1   0.3 
Bob Stanley             EVN    mr  33   2   1   2   4  3  2  1  4   7.6   1.8  10.0   4.2   0.8 
Bob Stanley                    mr  33   2   1   4   6  4  2  2  5   7.4   2.1  10.1   4.5   0.7 
Dave Stewart            MAR    sp  31  17  11   0   6 10 13  9 11   7.8   3.3  11.3   6.0   0.7 
Dave Stieb              EVN    sp  30  18   6   0   4  5  2  9  4   5.9   3.1   9.1   6.5   0.4 
Todd Stottlemyre        CCC    sp  23   6   6   4   3  2  3  7  4  10.7   4.4  15.4   6.6   1.2 
Rick Sutcliffe          NFG    sp  32  20   5   1   1  7  4  7  9   9.6   2.7  12.3   5.5   0.7 
Bruce Sutter            TEW    cl  35   0   0   0   0  0  0  0  0   3.0   0.0   3.0   3.0   0.0 
Billy Swift             NFG    sp  26   8   2   4   7  3  1  7  3   8.5   3.6  12.6   2.6   0.1 
Greg Swindell*          CCC    sp  23   1   0   0   1  1  0  3  0   8.0   1.2   9.3   5.2   1.2 
Greg Swindell*          CEN    sp  23  14   4   1   2  1  0  4  3   8.7   1.3  10.1   6.0   0.5 
Greg Swindell*                 sp  23  15   4   1   3  2  0  7  3   8.6   1.2   9.9   5.8   0.7 
Frank Tanana*           CCC    sp  34   9   8   5   0  4  0  6  3   8.8   2.5  11.2   5.2   1.1 
Kent Tekulve            NEE    mr  41  11   4   0   2  0  0  4  3   8.1   1.6   9.9   4.2   0.1 
Walt Terrell            FER    sp  30   1   0   1   0  0  0  1  0   5.6   6.8  12.4   2.3   1.1 
Scott Terry             SUN    mr  28   7   2   1   2  1  1  1  1   8.2   2.1  10.6   4.2   0.3 
Bob Tewksbury           FHK    sp  27   1   0   0   0  0  0  0  0  10.8   3.6  14.4   5.4   3.6 
Bobby Thigpen           GBP    cl  24   7   6   3   3  6  2  2  2   9.5   4.1  14.0   5.7   0.6 
Mark Thurmond*          CCC    mr  31   1   3   1   0  0  0  1  0  12.4   2.3  14.6   4.5   1.1 
Jay Tibbs               BMB    sp  26  12   5   0   1  2  2  3  5  10.6   2.8  13.5   4.2   1.1 
Fred Toliver            MAR    sp  27   0   0   0   0  0  0  1  0  32.4   5.4  37.8   5.4   0.0 
Steve Trout*            FER    sp  30  17   3   9   9  3  5  2  1  10.9   4.3  16.6   3.0   1.1 
John Tudor*             BAR    sp  34  11   5   1   2  1  2  6  3   8.6   1.6  10.4   3.9   0.7 
Fernando Valenzuela*    NFG    sp  27   7   5   0   1  4  0  5  1  10.9   5.3  16.3   3.8   1.6 
Ed Vande Berg*          NEE    mr  29   1   1   1   0  2  1  1  0  11.6   2.5  14.1   5.2   1.1 
Frank Viola*            CTW    sp  28   7   7   0   6  2  2  6  6   7.9   1.8   9.9   6.1   0.5 
Bob Walk                CTW    sp  31   6   3   0   5 15  6 10  2   8.8   2.6  11.5   3.2   0.2 
Duane Ward              FER    mr  24   7   7   0   1  6  1  4  2   7.6   4.0  11.7   7.0   0.5 
Bill Wegman             CCC    sp  25  14   4   2   1  1  3  7 10   9.4   1.8  11.2   3.1   0.7 
Bob Welch               CIN    sp  31   7   5   2   8  3  4  9  2   9.9   2.7  13.0   6.5   0.9 
David Wells*            BAR    mr  25   5   0   0   3  8  1  4  2  10.0   3.9  14.3   7.8   2.3 
David West*             BMB    sp  23   1   0   1   0  0  1  0  3  14.1   8.2  22.3   3.5   0.0 
Ed Whitson              GBP    sp  33  21   7   3   1  3  1  7  6  10.5   2.4  12.9   5.5   0.5 
Bill Wilkinson*         NEE    mr  23   1   1   0   1  1  0  2  2   7.3   3.8  11.3   4.6   0.5 
Frank Williams          FHK    mr  30   2   0   1   0  1  2  1  1  12.5   7.2  19.8   6.6   1.0 
Mitch Williams*         NFG    cl  23   6   1   3   4  5  7  3  3   7.1   6.8  14.5   7.2   0.8 
Mark Williamson         BAR    mr  28   7   4   1   2  5  2  1  3   8.5   2.7  11.3   4.9   1.2 
Carl Willis             BAR    mr  27   1   0   0   1  1  0  0  0  15.4   6.8  23.1   6.8   4.8 
Steve Wilson*           BMB    mr  23   1   1   0   0  0  0  0  2  10.6   4.7  15.3   2.3   0.0 
Trevor Wilson*          NEE    sp  22   1   2   0   0  1  0  1  1  11.1   4.3  15.4   9.0   0.9 
Bobby Witt              FER    sp  24  17   4   3   1 17  7 10  6   7.9   4.2  12.1   7.3   0.9 
Mike Witt               TEW    sp  27  10   9   2   7  6  0  7  3   7.9   3.1  11.3   4.6   0.1 
Todd Worrell            RYK    cl  28   7   3   1   0  6  0  2  2   7.3   2.2   9.6   8.2   0.8 
Floyd Youmans           EVN    sp  24   6   1   0   2  1  0  2  2   7.2   5.1  12.5   6.6   1.3 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age  GS  CG   CG% SHO  QS   QS%    RS  RS/G   RL  RLS   RL%  PCH/G  STR% 
Jim Acker               ES?    mr  29   0   0  .000   0   0  .000     0   0.0    5    2  .400   26.0  .636 
Juan Agosto*            EVN    mr  30   6   0  .000   0   3  .500    20   3.3    9    3  .333   27.6  .633 
Rick Aguilera           GBP    mr  26   4   0  .000   0   1  .250     8   2.0    3    0  .000   84.5  .618 
Gibson Alba*            CTW    mr  28   0   0  .000   0   0  .000     0   0.0    0    0  .000   18.8  .587 
Neil Allen              CCC    mr  30   2   0  .000   0   0  .000    10   5.0    4    2  .500   35.9  .665 
Jose Alvarez            MAR    mr  32   0   0  .000   0   0  .000     0   0.0   18    7  .389   21.3  .616 
Larry Andersen          GBP    mr  35   0   0  .000   0   0  .000     0   0.0   15    4  .267   21.4  .678 
Allan Anderson*         CTW    sp  24  13   5  .385   4   8  .615    58   4.5    5    2  .400   96.9  .688 
Allan Anderson*         EVN    sp  24   9   1  .111   0   3  .333    33   3.7    5    2  .400   91.6  .699 
Allan Anderson*                sp  24  22   6  .273   4  11  .500    91   4.1   10    4  .400   94.7  .692 
Rick Anderson           NFG    sp  31   0   0  .000   0   0  .000     0   0.0    5    3  .600   35.0  .670 
Joaquin Andujar         GBP    mr  35   0   0  .000   0   0  .000     0   0.0    5    3  .600   23.2  .655 
Luis Aquino             CCC    sp  24   5   0  .000   0   3  .600    13   2.6   10    6  .600   52.6  .575 
Jack Armstrong          NFG    sp  23  10   0  .000   0   1  .100    26   2.6    6    3  .500   83.2  .563 
Paul Assenmacher*       GBP    mr  27   0   0  .000   0   0  .000     0   0.0   11    1  .091   24.4  .637 
Keith Atherton          CIN    mr  29   0   0  .000   0   0  .000     0   0.0    0    0  .000   25.3  .671 
Don August              BBG    sp  24   4   0  .000   0   3  .750    17   4.3   11    0  .000   21.6  .627 
Scott Bailes*           TEW    sp  26   1   0  .000   0   0  .000    10  10.0   15    2  .133   18.6  .617 
Doug Bair               EVN    mr  38   2   0  .000   0   1  .500    14   7.0    0    0  .000   92.5  .611 
Jeff Ballard*           BAR    sp  24   3   0  .000   0   2  .667     7   2.3    1    1 1.000   84.3  .601 
Scott Bankhead          BBG    sp  24  18   5  .278   0  15  .833    90   5.0    7    3  .429   92.7  .668 
Floyd Bannister*        RYK    sp  33  15   1  .067   0   8  .533    63   4.2   13    3  .231   89.7  .637 
Jose Bautista           CTW    sp  23   2   1  .500   0   1  .500     3   1.5    1    1 1.000   58.3  .657 
Steve Bedrosian         FHK    cl  30   0   0  .000   0   0  .000     0   0.0   30    6  .200   19.9  .640 
Tim Belcher             NEE    sp  26  21   4  .190   0  17  .810    80   3.8   12    4  .333  103.1  .652 
Juan Berenguer          CCC    mr  33   6   0  .000   0   4  .667    19   3.2    9    0  .000   33.0  .582 
Mike Bielecki           NFG    mr  28   4   0  .000   0   0  .000    11   2.8    5    1  .200   47.4  .611 
Tim Birtsas*            NFG    mr  27   4   0  .000   0   2  .500    10   2.5    3    0  .000   77.3  .602 
Jeff Bittiger           RYK    mr  26   0   0  .000   0   0  .000     0   0.0   16    7  .438   33.2  .608 
Bud Black*              BAR    mr  31   3   1  .333   1   3 1.000     9   3.0   20    7  .350   27.2  .621 
Bert Blyleven           NFG    sp  37  28   0  .000   0  10  .357   114   4.1   25   10  .400   81.6  .655 
Mike Boddicker          CIN    sp  30  30   4  .133   2  15  .500   128   4.3   23    9  .391   94.1  .638 
Joe Boever              CEN    mr  27   0   0  .000   0   0  .000     0   0.0    5    1  .200   15.4  .766 
Tom Bolton*             BMB    mr  26   0   0  .000   0   0  .000     0   0.0    8    2  .250   18.4  .632 
Greg Booker             RYK    mr  28   0   0  .000   0   0  .000     0   0.0   21   10  .476   27.7  .624 
Rich Bordi              BAR    sp  29   2   0  .000   0   1  .500     4   2.0    0    0  .000   82.5  .570 
Chris Bosio             SUN    sp  25  26   5  .192   0  17  .654   115   4.4    5    2  .400  102.1  .675 
Oil Can Boyd            GBP    sp  28  20   0  .000   0  11  .550    79   4.0   11    5  .455   89.4  .643 
Jeff Brantley           CCC    mr  24   0   0  .000   0   0  .000     0   0.0    3    0  .000   33.9  .616 
Keith Brown             EVN    sp  24   0   0  .000   0   0  .000     0   0.0    0    0  .000   17.1  .669 
Kevin Brown             FHK    sp  23   5   0  .000   0   3  .600    22   4.4    2    0  .000   84.0  .652 
Tom Browning*           EVN    sp  28  27   4  .148   2  14  .519   127   4.7   19    8  .421   66.4  .643 
Tim Burke               RYK    cl  29   0   0  .000   0   0  .000     0   0.0   14    9  .643   19.0  .665 
Todd Burns              CTW    sp  24   9   3  .333   1   6  .667    42   4.7    5    2  .400   52.2  .623 
Greg Cadaret*           FHK    mr  26   2   0  .000   0   2 1.000     7   3.5   16    7  .438   27.4  .588 
John Candelaria*        SUN    sp  34  18   1  .056   0  10  .556   100   5.6    8    2  .250   96.7  .675 
Tom Candiotti           CIN    sp  30  25   3  .120   1  14  .560   134   5.4   19   11  .579   75.5  .650 
Don Carman*             CCC    sp  28   6   0  .000   0   1  .167    19   3.2    6    1  .167   81.0  .638 
Cris Carpenter          NEE    sp  23   1   0  .000   0   0  .000     3   3.0    7    5  .714   22.5  .692 
Chuck Cary*             NEE    mr  28   0   0  .000   0   0  .000     0   0.0    4    0  .000   21.0  .619 
Tony Castillo*          CTW    mr  25   0   0  .000   0   0  .000     0   0.0    3    0  .000   14.5  .735 
John Cerutti*           MAR    mr  28   5   0  .000   0   1  .200    23   4.6   14    6  .429   26.7  .639 
Norm Charlton*          CIN    sp  25   1   0  .000   0   0  .000     3   3.0   17    3  .176   20.0  .639 
Jim Clancy              NEE    sp  32   1   0  .000   0   1 1.000     3   3.0    0    0  .000   44.4  .640 
Mark Clear              TEW    mr  32   0   0  .000   0   0  .000     0   0.0    7    1  .143   21.4  .607 
Roger Clemens           NFG    sp  25  29   2  .069   0  14  .483   107   3.7   14    1  .071   97.8  .663 
Stew Cliburn            BAR    mr  31   1   0  .000   0   1 1.000     5   5.0    1    1 1.000   68.0  .647 
Keith Comstock*         BAR    mr  32   2   0  .000   0   0  .000    12   6.0    0    0  .000   92.5  .605 
David Cone              SUN    sp  25  27   2  .074   1  15  .556   112   4.1   16    4  .250  106.7  .614 
Dennis Cook*            FHK    sp  25   3   1  .333   0   2  .667    13   4.3    2    0  .000   49.9  .628 
