                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Mike LaCoss             GBP    sp  32   3.89   5   4   0  14  14   0   0   88.0  80  40  38  35  54   9   8 
Dennis Lamp             ES?    mr  35   2.65   7   3   2  46   0   0   0   78.0  75  29  23  15  37   3   8 
Lester Lancaster        ES?    mr  26   5.01   2   0   0  36   0   0   0   64.2  81  37  36  19  30   3   5 
Bill Landrum            ES?    mr  30   9.45   0   0   1  10   0   0   0   13.1  26  14  14   1   3   0   1 
Mark Langston*          ES?    sp  27   3.71  14  11   0  35  35   5   1  245.0 224 115 101  79 223  27  22 
Dave LaPoint*           CTW    sp  28   3.61  11  14   0  33  32   1   0  209.1 219  96  84  50 107  22  12 
Bill Laskey             NEE    mr  30   7.04   0   1   0  18   0   0   0   23.0  34  19  18   9  14   1   0 
Charlie Lea             CCC    sp  31   5.73   3   5   1  17   6   0   0   48.2  66  36  31  17  34  10   4 
Terry Leach             SUN    mr  34   3.55   3   5   4  44   0   0   0   76.0  75  34  30  22  37   2   8 
Tim Leary               CCC    sp  29   5.40   0   1   0   2   1   0   0    6.2   8   4   4   4   3   2   0 
Tim Leary               CIN    sp  29   3.45   3   3   0  10   9   0   0   60.0  58  23  23  11  39   4   2 
Tim Leary                      sp  29   3.64   3   4   0  12  10   0   0   66.2  66  27  27  15  42   6   2 
Mark Lee*               GBP    mr  23   0.00   2   0   0   5   0   0   0    5.0   3   0   0   2   0   0   1 
Craig Lefferts*         BBG    mr  30   2.42   2   1   3  52   2   0   0   78.0  63  22  21  20  46   7   6 
Charlie Leibrandt*      GBP    sp  31   4.52   7  14   0  33  33   1   0  211.0 223 121 106  44 110  29  23 
Dave Leiper*            BAR    mr  26   2.88   3   6   8  45   0   0   0   56.1  57  20  18  16  37   3   6 
Al Leiter*              SUN    sp  22   5.36   2   5   0  12   8   0   0   48.2  56  31  29  20  54  11   5 
Bill Long               FER    mr  28   4.43   4  11   1  23  17   0   0  107.2 130  58  53  32  43  13  10 
Greg Maddux             BMB    sp  22   3.70   7  19   0  33  33   8   2  226.0 238 103  93  70 102  14  18 
Mike Maddux             CCC    mr  26   3.36   4   7   2  48   0   0   0   72.1  91  37  27  26  54   4   6 
Alex Madrid             SUN    mr  25   3.15   1   0   0  13   0   0   0   20.0  16   7   7   7   0   1   0 
Joe Magrane*            CTW    sp  23   2.93   9   4   0  32  13   5   1  123.0  97  51  40  34  64  11   7 
Joe Magrane*            EVN    sp  23   3.08   3   1   0  18   4   1   0   49.2  40  18  17  22  21   3   2 
Joe Magrane*                   sp  23   2.97  12   5   0  50  17   6   1  172.2 137  69  57  56  85  14   9 
Rick Mahler             RYK    sp  34   3.45   8  17   0  33  33   3   1  206.0 242  96  79  26  92  13  12 
Dennis Martinez         NEE    sp  33   4.81   9  16   0  32  32   2   1  192.2 202 123 103  52 104  26  16 
Ramon Martinez          SUN    sp  20   2.76   6   1   0   7   7   0   0   42.1  30  14  13  20  20   1   3 
Greg Mathews*           RYK    sp  26   2.22   0   0   0  32   0   0   0   52.2  36  13  13  23  30   2   8 
Tom McCarthy            CEN    mr  27   2.08   1   0   1  11   0   0   0   13.0  11   3   3   5   3   0   1 
Kirk McCaskill          MAR    sp  27   3.67   1   2   0  26   4   0   0   49.0  45  23  20  20  38   2   3 
Kirk McCaskill          ES?    sp  27   2.95   3   5   0  12  12   1   0   82.1  76  35  27  26  55   2   9 
Kirk McCaskill                 sp  27   3.22   4   7   0  38  16   1   0  131.1 121  58  47  46  93   4  12 
Bob McClure*            ES?    mr  36   5.56   1   3   1  22   0   0   0   22.2  26  14  14  10  16   3   2 
Lance McCullers         MAR    mr  24   4.03   9   6  11  42  12   0   0   98.1  91  54  44  66  84  13   8 
Jack McDowell           ES?    sp  22   4.41   0  11   0  21  21   0   0  122.1 137  74  60  49  79   7   8 
Roger McDowell          RYK    cl  27   2.34   2   3   0  51   0   0   0   57.2  56  20  15  24  28   0   5 
Andy McGaffigan         GBP    mr  31   3.08   4   3   0  27   9   0   0   76.0  61  32  26  44  72   4   3 
Craig McMurtry          CEN    mr  28   1.62   3   5  27  51   0   0   0   61.0  41  15  11  20  39   2   5 
Larry McWilliams*       FER    mr  34   2.88   2   2   2  22   1   1   0   40.2  31  13  13   7  21   2   2 
Dave Meads*             SUN    mr  24   2.54   6   2   1  36   0   0   0   39.0  42  13  11  20  26   5   1 
Scott Medvin            BAR    mr  26   2.70   2   0   2  13   0   0   0   16.2  13   6   5   3  13   0   0 
Brian Meyer             GBP    mr  25   3.00   1   2   0   9   0   0   0    9.0  10   3   3   6   7   0   0 
Bob Milacki             SUN    sp  23   3.68   2   1   0   4   4   1   0   29.1  18  14  12  14  21   3   1 
Greg Minton             CEN    mr  36   2.82   7   1   3  37   5   0   0   83.0  72  31  26  30  52   6  13 
Paul Mirabella*         CEN    mr  34   2.90   4   5  18  47   0   0   0   59.0  58  21  19  22  34   1   2 
Dale Mohorcic           NEE    mr  32   7.22   1   2   0   7   7   0   0   28.2  39  27  23   9  15   4   3 
Rich Monteleone         FHK    mr  25  15.00   0   0   0   4   0   0   0    3.0   9   5   5   0   2   0   0 
Jeff Montgomery         BAR    mr  26   4.21   5   1   0  49   0   0   0   66.1  64  34  31  20  49  11   2 
Brad Moore              CTW    mr  24   4.91   0   0   0   3   0   0   0    3.2   2   2   2   3   4   0   0 
                          DMB pitching register -- All players in database                          
                                           Regular season                                           

Name                    Team    P Age    ERA   W   L   S   G  GS  CG SHO    INN   H   R  ER  BB   K  HR GDP 
Mike Moore              CEN    sp  28   2.08  23   3   0  32  32   9   6  246.1 189  59  57  50 200  13  19 
