                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                   Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Dale Sveum#            RYK     ss  24  54 277   0   2   4  .804    40.7  5.7  .183  .741  .236  24 126 
Pat Tabler             BBG     dh  30   0  41   0   0   2  .517     2.1  1.8  .000  .419  .143   0   7 
Danny Tartabull        NEE     rf  25 140 607   0   7  12  .825    88.6  5.8  .231  .809  .359  62 257 
Wilfredo Tejada        CTW     c   25   5  12   0   0   2  .250    -0.2 -0.3  .083  .154  .083   1   2 
Garry Templeton#       BBG     ss  32  98 410   3   3   3  .752    53.5  5.1  .141  .673  .188  35 165 
Mickey Tettleton#      ES?     c   27  66 334   0   1   2  .831    52.8  6.5  .193  .804  .281  29 148 
Tim Teufel             NEE     2b  29  81 322   0   5   9  .660    30.5  3.5  .122  .565  .194  22 108 
Andres Thomas          MAR     ss  24   9  35   0   0   1  .434     1.3  1.2  .000  .310  .000   0   7 
Milt Thompson*         CIN     cf  29  69 383   5   1   7  .745    47.6  5.0  .065  .719  .195  13 125 
Robby Thompson         CTW     2b  26 115 466   3   1  11  .639    41.9  3.3  .111  .560  .207  29 140 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

Name                   Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Dickie Thon            NEE     ss  30  72 277   0   0   6  .592    23.6  3.1  .064  .588  .229  11  72 
Gary Thurman           NFG     lf  23   6  74   0   0   0  .292     2.2  1.0  .000  .311  .159   0   8 
Rusty Tillman          CTW     lf  27   2   8   0   0   1  .821     0.5  2.1  .429  .714  .571   1   4 
Wayne Tolleson#        SUN     2b  32   5  21   0   0   0  .762     2.6  5.4  .000  .692  .111   0   6 
Kelvin Torve*          BMB     1b  28   3  13   0   0   0  .237     0.2  0.5  .000  .182  .083   0   1 
Jim Traber*            BMB     1b  26  19 122   0   1   4  .443     5.5  1.5  .027  .354  .125   3  23 
Alan Trammell          EVN     ss  30 103 468   4   5  12  .758    58.9  4.9  .126  .677  .201  35 179 
Jeff Treadway*         BMB     2b  25  60 355   3   5   4  .726    43.7  4.9  .108  .667  .207  27 121 
Alex Trevino           FER     c   30  47 223   2   0   2  .672    22.8  3.8  .110  .620  .210  16  71 
Willie Upshaw*         GBP     1b  31  42 211   2   3   1  .678    23.0  4.3  .080  .604  .171   9  65 
Jose Uribe#            RYK     ss  29  32 193   0   0   2  .685    21.0  4.2  .055  .625  .144   6  63 
Jose Uribe#            CEN     ss  29  20  91   1   1   0  .679     9.9  4.1  .092  .556  .103   5  33 
Jose Uribe#                    ss  29  52 284   1   1   2  .683    30.9  4.1  .067  .603  .131  11  96 
Dave Valle             MAR     c   27  13  63   0   1   1  .744     7.5  4.6  .143  .674  .214   6  23 
Dave Valle             FER     c   27  20  83   0   0   2  .452     3.8  1.5  .104  .382  .169   4  19 
Dave Valle                     c   27  33 146   0   1   3  .576    10.7  2.6  .120  .495  .188  10  42 
Andy Van Slyke*        CIN     cf  27 112 528   1   3   4 1.052   123.5 10.2  .292 1.191  .455  63 293 
Randy Velarde          FER     2b  25  20 101   0   1   3  .875    15.8  5.8  .295  .847  .337  14  54 
Ozzie Virgil           RYK     c   31  97 366   0   4   8  .660    36.0  3.6  .112  .572  .176  16 124 
Chico Walker#          FER     cf  30  20  81   0   0   0  .415     3.8  1.6  .051  .354  .128   3  17 
Greg Walker*           NEE     1b  28   2  12   0   0   0  .639     1.2  4.5  .000  .714  .333   0   2 
Tim Wallach            FER     3b  30 127 493   0   7  12  .664    47.5  3.5  .136  .564  .181  37 178 
Denny Walling*         NEE     3b  34  59 241   0   3   6  .582    18.3  2.7  .106  .492  .197  14  68 
Gary Ward              GBP     cf  34  39 142   0   1   7  .620    11.1  2.8  .100  .505  .177   8  43 
Claudell Washington*   MAR     cf  33  80 380   0   3   4  .714    46.4  4.7  .093  .687  .193  21 135 
Ron Washington         RYK     ss  36  65 254   1   2   2  .699    28.0  4.1  .101  .635  .139  15  91 
Mitch Webster#         BAR     cf  29  16 100   0   2   1  .555     7.9  2.8  .044  .534  .176   4  25 
Walt Weiss#            FER     ss  24  93 391   4   2   7  .548    26.2  2.4  .064  .452  .128  16 100 
Brad Wellman           NEE     2b  28   9  42   0   0   2  .579     2.6  2.0  .073  .441  .098   1  13 
Lou Whitaker*          SUN     2b  31  98 468   9   5  12  .756    58.5  5.0  .120  .730  .283  29 153 
Devon White#           RYK     cf  25 117 508   5   4   7  .596    40.0  2.7  .110  .525  .169  30 158 
Frank White            TEW     2b  37  64 241   5   3   4  .534    16.3  2.4  .064  .443  .133  10  60 
Ernie Whitt*           BBG     c   36 101 456   3   6   6  .735    57.1  5.1  .120  .726  .289  23 145 
Curt Wilkerson#        CEN     2b  27  92 354   3   4   7  .690    39.4  4.3  .074  .613  .156  20 118 
Ken Williams           CCC     3b  24   0  24   0   0   0  .667     2.4  3.4  .250  .632  .292   2  11 
Matt Williams          CEN     3b  22  28 138   1   3   6  .700    13.4  3.4  .203  .637  .301   9  52 
Glenn Wilson           EVN     rf  29   1   4   0   0   0 2.000     3.8 101.  .500 5.000  .500   2   5 
Mookie Wilson#         FER     cf  32  36 174   0   1   5  .834    26.6  6.1  .115  .786  .182  14  76 
Mookie Wilson#         CEN     cf  32  28 156   0   0   4  .683    14.9  3.4  .136  .593  .197  14  57 
Mookie Wilson#                 cf  32  64 330   0   1   9  .763    41.0  4.7  .125  .689  .189  28 133 
Dave Winfield          CEN     rf  36 150 655   0   7   7  .981   138.9  9.3  .224 1.038  .328  84 336 
Herm Winningham*       BBG     cf  26  11  35   0   0   1  .755     4.1  4.2  .147  .654  .176   3  15 
Tracy Woodson          NEE     3b  25   3  16   0   1   1  .129     0.0  0.0  .000  .067  .000   0   1 
Craig Worthington      BAR     3b  23  25  96   0   1   4  .685     9.2  3.5  .190  .634  .333   8  33 
Rick Wrona             BAR     c   24   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Butch Wynegar#         CEN     c   32  10  35   0   1   0  .590     3.1  3.5  .069  .565  .241   2   8 
Marvell Wynne*         SUN     cf  28  25 120   2   1   2  .788    17.1  5.9  .104  .747  .217   7  44 
Gerald Young#          CIN     cf  23   9  63   1   0   1  .662     6.4  3.8  .089  .667  .250   3  19 
Mike Young#            FER     rf  28  32 115   1   1   1  .642    11.6  4.0  .106  .658  .330  10  29 
Joel Youngblood        NFG     lf  36  11  52   0   1   0  .884     9.8  9.1  .022  .964  .156   1  19 
Robin Yount            ES?     cf  32 162 714  10   5  24  .806   100.9  5.5  .149  .749  .234  58 301 
Paul Zuvella           SUN     ss  29   0   4   0   0   1  .833     0.3  2.8  .000  .667  .333   0   1 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

                                      -----------Versus Left-handed Pitchers----------- 
Name                   Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR RBI  BB   K 
Shawn Abner            NFG     rf  22  .118  .118  .176  17   2   1   0   0   0   0   5 
Luis Aguayo            EVN     3b  29  .223  .291  .330 103  23   2   0   3  16  10  23 
Mike Aldrete*          TEW     lf  27  .370  .452  .444  27  10   2   0   0   2   4   2 
Luis Alicea#           RYK     2b  22  .135  .179  .162  37   5   1   0   0   3   0   5 
Andy Allanson          FHK     c   26  .204  .218  .204  54  11   0   0   0   4   1   8 
Roberto Alomar#        MAR     2b  20  .254  .297  .385 205  52   4   4   5  23  13  41 
Sandy Alomar           TEW     c   22  .000  .000  .000   0   0   0   0   0   0   0   0 
Brady Anderson*        BAR     cf  24  .229  .277  .267 105  24   2   1   0   6   4  26 
Dave Anderson          RYK     ss  27  .125  .222  .196  56   7   1   0   1   5   7   9 
Tony Armas             CTW     lf  34  .276  .326  .509 163  45  11   0   9  32  12  24 
Alan Ashby#            CTW     c   36  .125  .192  .125  24   3   0   0   0   1   2   2 
Alan Ashby#            FER     c   36  .667  .667  .667   3   2   0   0   0   0   0   0 
Alan Ashby#                    c   36  .185  .241  .185  27   5   0   0   0   1   2   2 
Wally Backman#         CTW     2b  28  .364  .385  .364  11   4   0   0   0   2   1   1 
Wally Backman#         EVN     2b  28  .317  .317  .317  41  13   0   0   0   0   0   3 
Wally Backman#                 2b  28  .327  .333  .327  52  17   0   0   0   2   1   4 
Harold Baines*         ES?     dh  29  .188  .235  .273 176  33  12   0   1  11  10  48 
Doug Baker#            ES?     ss  27  .333  .250  .333   3   1   0   0   0   2   0   2 
Steve Balboni          CIN     dh  31  .000  .000  .000   0   0   0   0   0   0   0   0 
Chris Bando#           CIN     c   32  .000  .000  .000   0   0   0   0   0   0   0   0 
Jesse Barfield         BAR     rf  28  .202  .238  .429 163  33   4   0  11  27   8  38 
Marty Barrett          BAR     2b  30  .303  .339  .367 109  33   7   0   0  10   6   8 
Kevin Bass#            EVN     rf  29  .256  .308  .410 156  40  13   1   3  12   7  13 
Buddy Bell             CIN     3b  36  .286  .412  .571  28   8   2   0   2   6   6   1 
George Bell            FHK     lf  28  .256  .276  .456 195  50   4   1  11  33   6  18 
Jay Bell               SUN     ss  22  .350  .400  .417  60  21   2   1   0   4   5  10 
Rafael Belliard        CCC     ss  26  .000  .000  .000   1   0   0   0   0   0   0   1 
Bruce Benedict         RYK     c   32  .000  .167  .000   5   0   0   0   0   0   1   1 
Todd Benzinger#        NFG     1b  25  .154  .187  .228 123  19   9   0   0  11   5  15 
Dave Bergman*          CTW     1b  35  .316  .381  .421  19   6   2   0   0   2   2   2 
Damon Berryhill#       EVN     c   24  .222  .222  .259  27   6   1   0   0   2   0   2 
Dante Bichette         RYK     cf  24  .257  .289  .286  35   9   1   0   0   3   1   6 
Craig Biggio           RYK     c   22  .300  .352  .660  50  15   0   0   6  11   4   7 
Lance Blankenship      CEN     2b  24  .000  .000  .000   2   0   0   0   0   0   0   1 
Jeff Blauser           GBP     2b  22  .268  .262  .317  41  11   2   0   0   2   0   4 
Terry Blocker*         CCC     cf  28  .455  .455  .545  11   5   1   0   0   0   0   1 
Wade Boggs*            BBG     3b  30  .283  .389  .375 240  68  12   5   0  11  39  19 
Barry Bonds*           FER     lf  23  .284  .344  .376 109  31   2   1   2  13  11  21 
Bobby Bonilla#         GBP     3b  25  .242  .284  .370 165  40   9   0   4  13  10  19 
Rod Booker*            ES?     3b  29  .250  .400  .250   8   2   0   0   0   0   2   4 
Bob Boone              CEN     c   40  .308  .308  .500  26   8   5   0   0   2   0   0 
Pat Borders            GBP     c   25  .245  .257  .368 106  26   2   4   1   7   2  19 
Thad Bosley*           BBG     lf  31  .500  .500  .500   2   1   0   0   0   0   0   0 
Daryl Boston*          BAR     cf  25  .140  .140  .200  50   7   1   1   0   1   0   7 
Phil Bradley           BAR     lf  29  .271  .335  .386 166  45  10   0   3  14  16  32 
Scott Bradley*         TEW     c   28  .143  .143  .286   7   1   1   0   0   0   0   1 
Glenn Braggs           NEE     rf  25  .172  .226  .276  29   5   0   0   1   2   2   7 
Mickey Brantley        CIN     lf  27  .000  .000  .000   0   0   0   0   0   0   0   0 
Sid Bream*             NFG     1b  27  .167  .204  .302  96  16   5   1   2   6   2  18 
Bob Brenly             BBG     c   34  .263  .333  .316  19   5   1   0   0   1   2   1 
George Brett*          SUN     1b  35  .279  .310  .511 233  65   9   3  13  48  11  27 
Greg Briley*           ES?     lf  23  .167  .167  .333   6   1   1   0   0   1   0   0 
Greg Brock*            CCC     1b  31  .214  .282  .286  98  21   4   0   1   9   8   9 
Tom Brookens           SUN     3b  34  .200  .298  .250  40   8   2   0   0   6   6   5 
Hubie Brooks           TEW     rf  31  .312  .333  .544 215  67  15   1  11  25   7  22 
Chris Brown            BBG     3b  26 1.000 1.000 1.000   1   1   0   0   0   0   0   0 
Jerry Browne#          FHK     2b  22  .333  .400  .333   9   3   0   0   0   0   1   1 
Tom Brunansky          CCC     rf  27  .257  .413  .371  35   9   1   0   1   5  10   5 
Steve Buechele         NFG     3b  26  .139  .238  .389  36   5   0   0   3   5   5   7 
Jay Buhner             SUN     rf  23  .091  .160  .091  22   2   0   0   0   1   1  10 
Eric Bullock*          BAR     lf  28  .667  .667  .667   3   2   0   0   0   1   0   0 
Ellis Burks            FHK     cf  23  .291  .382  .430 165  48   2   0   7  20  24  18 
Randy Bush*            GBP     rf  29  .083  .436  .125  24   2   1   0   0   0  15   7 
Sal Butera             FHK     c   35  .000  .000  .000   0   0   0   0   0   0   0   0 
Brett Butler*          MAR     cf  31  .250  .349  .368 204  51   7   4   3  16  29  27 
Ivan Calderon          FHK     rf  26  .000  .222  .000   7   0   0   0   0   0   2   1 
Ken Caminiti#          CIN     3b  25  .400  .625 1.600   5   2   0   0   2   4   3   1 
Sil Campusano          RYK     cf  22  .239  .268  .500  92  22   5   2   5  12   4  28 
Casey Candaele#        BMB     2b  27  .148  .148  .273  88  13   4   2   1   4   0  10 
John Cangelosi#        CTW     cf  25  .333  .333  .333   6   2   0   0   0   0   0   1 
John Cangelosi#        FER     cf  25  .239  .352  .239  46  11   0   0   0   1   8   7 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

                                      -----------Versus Left-handed Pitchers----------- 
Name                   Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR RBI  BB   K 
John Cangelosi#                cf  25  .250  .350  .250  52  13   0   0   0   1   8   8 
Jose Canseco           TEW     rf  23  .289  .351  .502 201  58  10   0  11  43  16  45 
Mark Carreon           FER     lf  24  .500  .667  .500   2   1   0   0   0   0   1   0 
Mark Carreon           CEN     lf  24  .250  .400  .250   4   1   0   0   0   0   1   0 
Mark Carreon                   lf  24  .333  .500  .333   6   2   0   0   0   0   2   0 
Gary Carter            NFG     c   34  .318  .372  .507 148  47   9   2   5  20  14   6 
Joe Carter             CCC     cf  28  .324  .372  .599 182  59  15   1  11  36  15  19 
Carmen Castillo        NEE     lf  30  .333  .345  .463  54  18   2   1   1   7   1   5 
Juan Castillo#         CCC     2b  26  .000  .000  .000   0   0   0   0   0   0   0   0 
Rick Cerone            FHK     c   34  .256  .282  .256 125  32   0   0   0   8   3   8 
Dave Clark*            GBP     dh  25  .000  .000  .000   0   0   0   0   0   0   0   0 
Jack Clark             NEE     dh  32  .236  .341  .354 144  34   8   0   3  16  22  41 
Will Clark*            CTW     1b  24  .196  .252  .318 107  21   5   1   2   4   8  25 
Vince Coleman#         GBP     lf  26  .232  .263  .358  95  22   5   2   1   4   4  22 
Darnell Coles          CEN     rf  26  .354  .432  .685 127  45   6   0  12  30  19  19 
Dave Concepcion        GBP     2b  40  .130  .130  .174  23   3   1   0   0   1   0   2 
Henry Cotto            CCC     cf  27  .225  .242  .337  89  20   4   0   2   8   2  14 
Jose Cruz*             CTW     dh  40  .286  .375  .429   7   2   1   0   0   0   1   0 
Kal Daniels*           CIN     lf  24  .286  .420  .375  56  16   2   0   1   4  13  10 
Doug Dascenzo#         NFG     cf  24  .296  .321  .370  27   8   2   0   0   1   0   0 
Darren Daulton*        BAR     c   26  .132  .154  .132  38   5   0   0   0   3   0   2 
Alvin Davis*           CEN     1b  27  .333  .417  .506 156  52  10   1   5  34  18  21 
Chili Davis#           BAR     rf  28  .235  .260  .385 213  50   8   3   6  16   8  52 
Eric Davis             TEW     cf  26  .248  .336  .485 206  51   2   4  13  38  26  37 
Glenn Davis            FHK     1b  27  .208  .258  .354 144  30   3   0   6  14  10  18 
Jody Davis             BAR     c   31  .192  .262  .247  73  14   4   0   0   5   6  15 
Andre Dawson           CTW     rf  33  .299  .348  .411 107  32   4   1   2  12   8  12 
Andre Dawson           EVN     rf  33  .267  .313  .467  15   4   3   0   0   3   1   1 
Andre Dawson                   rf  33  .295  .344  .418 122  36   7   1   2  15   9  13 
Rob Deer               FHK     rf  27  .255  .344  .426 141  36   9   0   5  16  18  26 
Rick Dempsey           CEN     c   38  .345  .387  .690  29  10   4   0   2   5   2   9 
Bob Dernier            MAR     cf  31  .365  .405  .461 115  42   3   1   2  13   6   9 
Orestes Destrade*      FHK     1b  26  .000  .000  .000   3   0   0   0   0   0   0   1 
Mike Devereaux         CCC     cf  25  .125  .125  .125   8   1   0   0   0   0   0   0 
Bo Diaz                NEE     c   35  .222  .222  .333   9   2   1   0   0   2   0   1 
Mario Diaz             CEN     ss  26  .000  .000  .000   3   0   0   0   0   0   0   0 
Benny Distefano*       CEN     1b  26  .000  .000  .000   6   0   0   0   0   0   0   3 
Bill Doran#            CIN     2b  30  .226  .317  .339 177  40   7   2   3  14  24  24 
Brian Dorsett          ES?     c   27  .000  .000  .000   1   0   0   0   0   0   0   0 
Brian Downing          CTW     dh  37  .154  .313  .231  13   2   1   0   0   2   2   1 
Brian Downing          NFG     dh  37  .205  .341  .370  73  15   1   1   3  13  11   8 
Brian Downing                  dh  37  .198  .337  .349  86  17   2   1   3  15  13   9 
Rob Ducey*             CEN     cf  23  .000  .000  .000   6   0   0   0   0   0   0   3 
Shawon Dunston         NFG     ss  25  .240  .238  .413 179  43   9   2   6  21   0  30 
Leon Durham*           GBP     1b  30  .000  .000  .000   0   0   0   0   0   0   0   0 
Jim Dwyer*             FER     dh  38  .333  .333  .333   6   2   0   0   0   2   0   2 
Lenny Dykstra*         EVN     cf  25  .255  .304  .319  94  24   3   0   1   7   5  24 
Jim Eisenreich*        NFG     lf  29  .269  .309  .327  52  14   3   0   0   5   1  13 
Kevin Elster           FHK     ss  23  .148  .179  .148  27   4   0   0   0   2   1   1 
Dave Engle             NFG     c   31  .111  .111  .111   9   1   0   0   0   0   0   2 
Nick Esasky            CIN     1b  28  .219  .312  .391 151  33   6   4   4  21  19  40 
Alvaro Espinoza        FER     2b  26  .000  .000  .000   0   0   0   0   0   0   0   0 
Cecil Espy#            MAR     lf  25  .313  .343  .522  67  21   7   2   1   9   2  20 
Darrell Evans*         CIN     1b  41  .294  .381  .471  17   5   3   0   0   2   3   4 
Dwight Evans           NEE     rf  36  .321  .394  .459 159  51   1   3   5  23  20  23 
Felix Fermin           CEN     ss  24  .194  .216  .222  36   7   1   0   0   1   1   5 
Tony Fernandez#        CTW     ss  26  .296  .343  .354 189  56   1   2   2  14  14  16 
Cecil Fielder          SUN     dh  24  .214  .281  .457 140  30   4   0  10  18  12  47 
Bruce Fields*          NFG     lf  27  .000  .000  .000   1   0   0   0   0   0   0   0 
John Fishel            CTW     lf  25  .231  .286  .462  13   3   0   0   1   1   1   5 
Carlton Fisk           GBP     c   40  .222  .417  .778   9   2   0   1   1   2   3   1 
Mike Fitzgerald        FER     c   27  .200  .324  .217  60  12   1   0   0   4  11  13 
Tim Flannery*          CIN     3b  30  .182  .438  .182  11   2   0   0   0   1   4   2 
Scott Fletcher         MAR     ss  29  .234  .298  .273 128  30   3   1   0   8  10   5 
Tom Foley*             MAR     2b  28  .125  .125  .125  16   2   0   0   0   0   0   3 
Tom Foley*             FER     2b  28  .000  .000  .000   9   0   0   0   0   0   0   2 
Tom Foley*                     2b  28  .080  .080  .080  25   2   0   0   0   0   0   5 
Curt Ford*             BBG     lf  27  .000  .000  .000   3   0   0   0   0   1   0   2 
Julio Franco           BBG     2b  29  .350  .429  .518 226  79  14   6   4  32  32  11 
Terry Francona*        EVN     dh  29  .000  .000  .000   0   0   0   0   0   0   0   0 
Gary Gaetti            MAR     3b  29  .363  .393  .509 171  62  11   1   4  19  10  20 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

                                      -----------Versus Left-handed Pitchers----------- 
Name                   Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR RBI  BB   K 
Greg Gagne             FHK     ss  26  .341  .385  .520 173  59   1  12   2  17  13  47 
Andres Galarraga       TEW     1b  27  .301  .338  .563 206  62  24   0  10  28  11  56 
Dave Gallagher         CTW     cf  27  .407  .433  .630  27  11   1   1   1   4   1   3 
Mike Gallego           CCC     2b  27  .347  .413  .449  98  34   7   0   1   9  11  16 
Ronnie Gant            GBP     2b  23  .292  .358  .584 154  45   7   1  12  18  17  30 
Jim Gantner*           GBP     2b  35  .269  .321  .337 104  28   5   1   0   9   7   8 
Damaso Garcia          EVN     2b  33  .269  .296  .500  26   7   0   0   2   2   1   6 
Rich Gedman*           CCC     c   28  .184  .268  .306  49   9   6   0   0   4   4   3 
Bob Geren              FER     c   26  .000  .400  .000   3   0   0   0   0   0   2   2 
Ken Gerhart            NEE     cf  27  .200  .286  .360  25   5   1   0   1   2   3   1 
Kirk Gibson*           CTW     lf  31  .194  .237  .375  72  14   2   1   3   8   4  15 
Kirk Gibson*           EVN     lf  31  .254  .285  .384 138  35   6   0   4  19   4  27 
Kirk Gibson*                   lf  31  .233  .268  .381 210  49   8   1   7  27   8  42 
Dan Gladden            CIN     lf  30  .295  .377  .446 166  49   7   3   4  24  22  13 
Rene Gonzales          SUN     3b  27  .384  .456  .545  99  38   7   0   3  10  14   4 
Denny Gonzalez         BAR     2b  24  .167  .375  .167   6   1   0   0   0   0   2   1 
Jose Gonzalez          FER     cf  23  .200  .200  .200  10   2   0   0   0   0   0   7 
Mark Grace*            EVN     1b  24  .239  .338  .274 117  28   4   0   0   8  17  20 
Mike Greenwell*        BBG     lf  24  .282  .328  .405 227  64  10   0   6  31   6  18 
Tommy Gregg*           EVN     lf  24  .000  .000  .000   0   0   0   0   0   0   0   0 
Ken Griffey*           BMB     lf  38  .244  .244  .356  45  11   2   0   1   5   0  11 
Alfredo Griffin#       BMB     ss  30  .167  .286  .167  18   3   0   0   0   0   2   2 
Kelly Gruber           MAR     3b  26  .286  .302  .377 154  44  12   1   0  17   3  25 
Pedro Guerrero         EVN     1b  32  .356  .426  .525  59  21   1   3   1   5   8   6 
Ozzie Guillen*         TEW     ss  24  .229  .250  .257  35   8   1   0   0   3   1   2 
Tony Gwynn*            BBG     rf  28  .308  .359  .355 211  65  10   0   0  15  16  28 
Mel Hall*              GBP     lf  27  .119  .157  .134  67   8   1   0   0   1   3  11 
Darryl Hamilton*       TEW     rf  23  .000  .000  .000   6   0   0   0   0   0   0   1 
Brian Harper           CCC     c   28  .250  .352  .250  44  11   0   0   0   2   5   2 
Lenny Harris*          GBP     3b  23  .125  .300  .125   8   1   0   0   0   2   2   2 
Ron Hassey*            TEW     c   35  .095  .174  .143  21   2   1   0   0   1   1   3 
Billy Hatcher          EVN     lf  27  .262  .250  .459  61  16   1   1   3  12   0   8 
Mickey Hatcher         MAR     1b  33  .179  .207  .286  28   5   0   0   1   4   1   1 
Charlie Hayes          FHK     lf  23  .000  .000  .000   5   0   0   0   0   1   0   1 
Von Hayes*             BBG     1b  29  .106  .170  .128  47   5   1   0   0   3   3  10 
Mike Heath             BBG     c   33  .233  .274  .347 176  41   8   0   4  19   9  15 
Danny Heep*            CCC     rf  30  .167  .167  .167  12   2   0   0   0   2   0   3 
Dave Henderson         NEE     cf  29  .326  .380  .616 138  45  10   3   8  19  12  23 
Rickey Henderson       CEN     lf  29  .344  .451  .547 128  44  11   3   3  15  24   7 
Keith Hernandez*       BBG     1b  34  .275  .342  .437 167  46   6   0   7  34  16  24 
Larry Herndon          ES?     dh  34  .286  .318  .286  21   6   0   0   0   3   1   3 
Tommy Herr#            EVN     2b  32  .260  .325  .317 104  27   1   1   1   7  10   9 
Donnie Hill#           RYK     2b  27  .147  .247  .294  68  10   1   0   3   8   9  12 
Sam Horn*              CTW     dh  24  .500  .500  .500   2   1   0   0   0   2   0   1 
Sam Horn*              NFG     dh  24  .400  .500 1.000   5   2   0   0   1   1   1   2 
Sam Horn*                      dh  24  .429  .500  .857   7   3   0   0   1   3   1   3 
Bob Horner             CTW     1b  30  .319  .388  .538  91  29  11   0   3  18  11  13 
Jack Howell*           CTW     3b  26  .135  .200  .162  37   5   1   0   0   0   2  12 
Jack Howell*           EVN     3b  26  .467  .500  .933  15   7   1   0   2   5   1   1 
Jack Howell*                   3b  26  .231  .286  .385  52  12   2   0   2   5   3  13 
Kent Hrbek*            GBP     1b  28  .187  .236  .254 134  25   6   0   1  14   9  22 
Glenn Hubbard          BBG     2b  30  .400  .400  .400   5   2   0   0   0   0   0   0 
Rex Hudler             MAR     2b  27  .213  .226  .262  80  17   4   0   0   7   1   9 
Rex Hudler             FER     2b  27  .273  .333  .273  11   3   0   0   0   0   1   1 
Rex Hudler                     2b  27  .220  .240  .264  91  20   4   0   0   7   2  10 
Jeff Huson*            FER     ss  23  .000  .000  .000   3   0   0   0   0   1   0   1 
Pete Incaviglia        BBG     lf  24  .268  .329  .521 194  52   8   1  13  43  18  64 
Bo Jackson             GBP     lf  25  .285  .321  .515 130  37   6   0   8  27   7  51 
Chuck Jackson          NFG     3b  25  .208  .240  .250  24   5   1   0   0   1   1   5 
Darrin Jackson         FER     cf  25  .300  .306  .567  60  18  10   3   0   7   1   7 
Darrin Jackson         CEN     cf  25  .571  .571 1.000  14   8   3   0   1   2   0   0 
Darrin Jackson                 cf  25  .351  .355  .649  74  26  13   3   1   9   1   7 
Brook Jacoby           BMB     3b  28  .194  .251  .328 180  35   6   0   6  20  14  32 
Chris James            FER     rf  25  .274  .323  .397 146  40   9   0   3  16  10  18 
Dion James*            RYK     lf  25  .211  .250  .289  38   8   1   1   0   1   2   5 
Stan Javier#           BMB     lf  24  .223  .234  .266 139  31   3   0   1   5   2  20 
Gregg Jefferies#       BAR     3b  20  .179  .233  .500  28   5   0   0   3   4   2   1 
Stan Jefferson         RYK     cf  25  .000  .000  .000   1   0   0   0   0   0   0   0 
Steve Jeltz#           BMB     ss  29  .194  .303  .252 103  20   1   1   1   9  17  13 
Howard Johnson#        ES?     3b  27  .194  .261  .372 191  37   5   1   9  21  18  34 
Lance Johnson*         TEW     cf  24  .000  .000  .000   3   0   0   0   0   0   0   0 
                          DMB batting register -- All players in database                           
                                           Regular season                                           

                                      -----------Versus Left-handed Pitchers----------- 
Name                   Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR RBI  BB   K 
Wallace Johnson#       BBG     1b  31  .200  .200  .200   5   1   0   0   0   0   0   2 
Ron Jones*             CEN     rf  24  .297  .297  .486  37  11   1   0   2   6   0   5 
Tim Jones*             EVN     2b  25  .000  .000  .000   4   0   0   0   0   0   0   1 
Tracy Jones            CIN     rf  27  .373  .392  .533  75  28   0   0   4  10   3   5 
Tracy Jones            EVN     rf  27  .191  .269  .277  47   9   1   0   1   3   5   0 
Tracy Jones                    rf  27  .303  .344  .434 122  37   1   0   5  13   8   5 
Ricky Jordan           FHK     1b  23  .352  .362  .611  54  19   2   0   4  16   2   6 
Felix Jose#            CCC     rf  23  .000  .000  .000   0   0   0   0   0   0   0   0 
Wally Joyner*          RYK     1b  26  .254  .302  .354 130  33   7   0   2  10   4   6 
Ron Karkovice          BAR     c   24  .196  .208  .239  46   9   2   0   0   3   1  13 
Roberto Kelly          CEN     cf  23  .174  .269  .217  23   4   1   0   0   0   2   7 
Terry Kennedy*         GBP     c   32  .208  .296  .375  24   5   1   0   1   2   2   7 
Steve Kiefer           SUN     2b  27  .200  .200  .200   5   1   0   0   0   0   0   2 
Mike Kingery*          NFG     cf  27  .222  .417  .222   9   2   0   0   0   2   3   0 
Ron Kittle             ES?     dh  30  .262  .310  .589 107  28   3   1  10  19   7  22 
Ray Knight             CCC     1b  35  .000  .000  .000   1   0   0   0   0   0   0   0 
Chad Kreuter#          CTW     c   23  .000  .200  .000   4   0   0   0   0   0   1   2 
John Kruk*             FHK     1b  27  .098  .213  .122  41   4   1   0   0   2   6   9 
Jeff Kunkel            ES?     2b  26  .240  .255  .356 104  25   3   3   1   6   2  26 
Randy Kutcher          CTW     lf  28  .200  .200  .200   5   1   0   0   0   1   0   1 
Steve Lake             ES?     c   31  .500  .333  .500   2   1   0   0   0   1   0   0 
Tom Lampkin*           FHK     c   24  .500  .667  .500   2   1   0   0   0   0   1   0 
