                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

Name                     Team    P Age   AVG   OBP   SPC   AB   H  2B  3B  HR  TB HBP  BB  IW   K  SB  CS 
Shane Rawley*            GBP    sp  32  .500  .500  .500   2   1   0   0   0   0   0   0   0   0   1   0 
Jeff Reardon             CTW    cl  32  .224  .265  .257 152  34   2   0   1   8   1   8   1  19   1   1 
Jerry Reed               CTW    mr  32  .371  .421  .657  35  13   2   1   2   3   0   3   1   0   0   0 
Jerry Reed               EVN    mr  32  .402  .500  .500 112  45   9   1   0   8   0  22   3  10   2   0 
Jerry Reed                      mr  32  .395  .483  .537 147  58  11   2   2  11   0  25   4  10   2   0 
Rick Reed                TEW    sp  22  .217  .333  .217  23   5   0   0   0   1   0   4   0   1   0   0 
Rick Reuschel            RYK    sp  39  .296  .333  .412 510 151  34   5   5  39   2  27   0  20   6   1 
Jerry Reuss*             FHK    sp  39  .206  .281  .286 126  26   7   0   1  11   8   5   0   3   1   0 
Dave Righetti*           BAR    cl  29  .298  .353  .447  47  14   2   1   1   5   0   4   0  12   2   0 
Jose Rijo                GBP    mr  23  .223  .337  .340 265  59   7   3   6  21   1  45   1  82   5   1 
Wally Ritchie*           CTW    mr  22  .750  .800  .750   4   3   0   0   0   4   0   5   0   0   0   1 
Don Robinson             TEW    mr  31  .201  .289  .299 354  71   9   4   6  24   4  41   0  56   5   2 
Jeff Robinson            EVN    mr  27  .265  .300  .336 113  30   5   0   1   8   0   6   2  11   1   1 
Jeff M. Robinson         CEN    sp  26  .254  .323  .402 393 100  24   8   6  29   0  40   1  75   2   1 
Ron Robinson             SUN    sp  26  .311  .385  .479 167  52  10   3   4  20   0  20   0   6   0   0 
Bruce Ruffin*            BMB    mr  24  .226  .338  .290 124  28   8   0   0  16   0  21   0  23   2   0 
Jeff Russell             ES?    sp  26  .340  .416  .450 262  89   8   3   5  37   1  34   1  26   7   1 
Nolan Ryan               ES?    sp  41  .251  .327  .400 403 101  15   3  13  43   1  46   0  97   4   2 
Bret Saberhagen          BBG    sp  24  .260  .299  .378 415 108  21   5   6  50   0  26   0  66   5   7 
Roger Samuels*           CIN    mr  27  .000  .000  .000   7   0   0   0   0   0   0   0   0   3   0   0 
Israel Sanchez*          MAR    mr  24  .152  .245  .174  46   7   1   0   0   2   0   6   0  12   1   1 
Scott Sanderson          CCC    mr  31  .161  .212  .194  31   5   1   0   0   0   0   2   1   0   0   0 
Rich Sauveur*            NFG    mr  24  .000  .333  .000   2   0   0   0   0   0   0   1   0   0   0   0 
