                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

Name                     Team    P Age   AVG   OBP   SPC   AB   H  2B  3B  HR  TB HBP  BB  IW   K  SB  CS 
Steve Ontiveros          BMB    sp  27  .307  .328  .386 127  39   4   0   2  15   1   4   0  16   1   2 
Jesse Orosco*            ES?    mr  31  .207  .317  .360 150  31   7   2   4  23   4  22   0  28   2   4 
Vincente Palacios        BMB    sp  24  .170  .313  .170  53   9   0   0   0   2   1  10   0   9   1   0 
Donn Pall                MAR    mr  26  .391  .462  .435  23   9   1   0   0   6   0   3   0   0   0   0 
David Palmer             EVN    sp  30  .167  .444  .333   6   1   1   0   0   0   0   3   0   1   0   0 
Jeff Parrett             NFG    mr  26  .333  .407  .667 123  41   6   1  11  33   1  15   0  19   3   1 
Ken Patterson*           CCC    mr  23  .314  .417  .412  51  16   2   0   1   8   1   8   1   4   1   0 
Alejandro Pena           CIN    mr  29  .213  .239  .330 197  42   5   0   6  21   1   6   0  48   1   1 
Hipolito Pena*           CTW    mr  24  .500  .565  .800  20  10   1   1   1   4   0   3   2   1   1   0 
Melido Perez             FER    sp  22  .278  .332  .456 252  70  16   1   9  36   0  22   5  61   6   3 
Pascual Perez            SUN    sp  31  .220  .273  .343 236  52   7   2   6  28   6  13   0  45   5   5 
Pat Perry*               NFG    mr  29  .246  .312  .381 126  31   8   0   3  16   0  13   0  19   3   2 
Jeff Pico                TEW    mr  22  .232  .276  .353 190  44  12   1   3  20   0  12   1  46   1   1 
Dan Plesac*              FER    cl  26  .260  .314  .323  96  25   3   0   1  10   0   8   2  15   2   1 
Eric Plunk               FER    mr  24  .167  .215  .270 126  21   3   2   2  13   1   7   0  45   0   1 
Mark Portugal            NFG    mr  25  .347  .474  .667  75  26   6   0   6  19   1  18   0   9   2   1 
Ted Power                BMB    sp  33  .317  .373  .468 218  69  17   2   4  27   4  18   1  38   2   4 
Joe Price*               RYK    mr  31  .302  .346  .500 172  52  14   1   6  26   0  13   2  34   3   3 
Charlie Puleo            FER    mr  33  .215  .241  .333 135  29   8   1   2  16   0   5   1  26   1   1 
Dan Quisenberry          NFG    mr  35  .368  .403  .598 117  43  14   2   3  23   1   6   1  14   1   0 
Dennis Rasmussen*        MAR    sp  29  .224  .267  .335 666 149  27   1  15  50   4  38   0  92   3   7 
Shane Rawley*            GBP    sp  32  .100  .250  .400  10   1   0   0   1   2   0   2   0   0   0   0 
Jeff Reardon             CTW    cl  32  .286  .291  .486 140  40   7   0   7  20   1   0   0  29   2   0 
Jerry Reed               CTW    mr  32  .103  .125  .103  39   4   0   0   0   1   0   1   0  17   2   0 
Jerry Reed               EVN    mr  32  .133  .170  .178 135  18   4   1   0  12   0   6   0  41   2   0 
Jerry Reed                      mr  32  .126  .160  .161 174  22   4   1   0  13   0   7   0  58   4   0 
Rick Reed                TEW    sp  22  .333  .333  .389  18   6   1   0   0   2   0   0   0   3   0   0 
Rick Reuschel            RYK    sp  39  .204  .222  .302 378  77  13   0   8  33   4   5   0  48   1   0 
Jerry Reuss*             FHK    sp  39  .231  .268  .330 454 105  22   1   7  39   2  22   2  54   7   3 
Dave Righetti*           BAR    cl  29  .232  .322  .320 125  29   3   1   2  19   1  17   0  23   1   3 
Jose Rijo                GBP    mr  23  .207  .244  .293 300  62   8   3   4  21   1  14   0  65   4   0 
Wally Ritchie*           CTW    mr  22  .175  .298  .338  80  14   3   2   2   4   1  13   0   9   1   0 
Don Robinson             TEW    mr  31  .270  .314  .406 345  93  15   1  10  34   2  21   2  72   1   1 
Jeff Robinson            EVN    mr  27  .259  .337  .400 170  44   7   1   5  15   3  17   2  37   1   0 
Jeff M. Robinson         CEN    sp  26  .176  .210  .322 301  53  10   2  10  30   2  11   0  54   4   1 
Ron Robinson             SUN    sp  26  .222  .248  .288 153  34   4   0   2  12   0   6   0  26   2   2 
Bruce Ruffin*            BMB    mr  24  .290  .353  .435 421 122  23   4  10  58   2  41   0  49   6   3 
Jeff Russell             ES?    sp  26  .270  .305  .433 270  73  24   1   6  41   4  12   0  30   6   6 
Nolan Ryan               ES?    sp  41  .248  .302  .423 355  88  14   0  16  47   8  21   0 111   8   3 
Bret Saberhagen          BBG    sp  24  .303  .324  .488 373 113  21   9  10  57   7   7   0  55   3   5 
Roger Samuels*           CIN    mr  27  .346  .414 1.038  26   9   0   0   6  14   0   3   1   5   0   0 
Israel Sanchez*          MAR    mr  24  .300  .356  .422  90  27   5   0   2  11   0   9   1   5   0   2 
Scott Sanderson          CCC    mr  31  .111  .143  .111  27   3   0   0   0   0   0   1   1   3   1   0 
Rich Sauveur*            NFG    mr  24  .300  .300  .400  30   9   0   0   1   3   0   0   0   4   0   0 
Dan Schatzeder*          BMB    mr  33  .324  .368  .521  71  23   0   1   4  16   3   2   0   9   1   0 
Curt Schilling           BAR    sp  21  .353  .436  .559  34  12   4   0   1   8   0   5   0   2   0   0 
Calvin Schiraldi         TEW    sp  26  .208  .278  .267 120  25   5   1   0  12   2  10   0  36   0   1 
Dave Schmidt             FHK    mr  31  .333  .333  .333   3   1   0   0   0   0   0   0   0   1   0   0 
Mike Schooler            NEE    cl  25  .168  .248  .242  95  16   1   0   2   7   3   7   0  27   1   0 
Mike Scott               BBG    sp  33  .235  .266  .337 413  97   8   2  10  33   6  13   1 112   7   4 
Scott Service            NEE    mr  21  .286  .286  .286  14   4   0   0   0   2   0   0   0   2   0   0 
                    DMB pitching register (vs batter) -- All players in database                    
                                           Regular season                                           

                                       -------------------Versus Right-handed Batters------------------- 
Name                     Team    P Age   AVG   OBP   SPC  AB   H  2B  3B  HR RBI HBP  BB IBB   K  SH  SF 
Jeff Shaver              CTW    mr  24  .154  .389  .231  13   2   1   0   0   1   3   2   0   0   0   0 
Steve Shields            BMB    mr  29  .281  .355  .356 146  41   2   0   3  19   2  16   0  15   3   2 
Eric Show                SUN    sp  32  .240  .276  .396 371  89  12   2  14  40   5  14   1  78   2   2 
John Smiley*             EVN    sp  23  .235  .287  .380 553 130  30   1  16  59   3  38   6  91   6   1 
Bryn Smith               EVN    sp  32  .205  .241  .318 292  60   6   3   7  26   5   9   0  69   2   1 
Dave Smith               BMB    cl  33  .295  .336  .470 132  39   9   1   4  31   1   8   1  27   1   2 
Lee Smith                BAR    cl  30  .160  .215  .234 188  30   4   2   2  17   0  14   0  72   2   3 
Mike Smith               BAR    mr  27  .263  .400  .263  19   5   0   0   0   5   0   5   0   2   1   1 
Pete Smith               MAR    sp  22  .174  .245  .304 230  40   8   2   6  16   0  22   0  51   2   1 
Roy Smith                CEN    sp  26  .167  .322  .194  72  12   2   0   0   4   3  14   2   7   1   1 
Zane Smith*              FER    sp  27  .269  .323  .354 342  92  10   2   5  37   0  28  11  44   2   2 
Zane Smith*              NFG    sp  27  .000  .000  .000   1   0   0   0   0   0   0   0   0   0   0   0 
Zane Smith*                     sp  27  .268  .322  .353 343  92  10   2   5  37   0  28  11  44   2   2 
Mike Smithson            GBP    sp  33  .267  .313  .333  60  16   4   0   0   2   2   2   1   8   1   0 
John Smoltz              BMB    sp  21  .281  .350  .489 139  39   5   0   8  29   0  16   0  20   0   2 
Julio Solano             CTW    mr  28  .364  .364  .636  11   4   0   0   1   1   0   0   0   2   0   0 
Mario Soto               CIN    sp  31  .231  .263  .407  91  21   7   0   3   9   2   2   0  12   2   0 
Bob Stanley              CTW    mr  33  .179  .254  .250  56  10   2   1   0   5   2   4   1  11   0   1 
Bob Stanley              EVN    mr  33  .187  .221  .301 123  23   2   0   4  17   3   3   0  21   0   2 
Bob Stanley                     mr  33  .184  .232  .285 179  33   4   1   4  22   5   7   1  32   0   3 
Dave Stewart             MAR    sp  31  .235  .302  .356 396  93  18   0  10  45   3  37   0  74   7   5 
Dave Stieb               EVN    sp  30  .176  .248  .275 374  66  15   2   6  22   4  32   0 107   5   1 
Todd Stottlemyre         CCC    sp  23  .185  .274  .360 178  33   4   3   7  17   2  20   1  45   7   1 
Rick Sutcliffe           NFG    sp  32  .294  .315  .421 309  91  13   4   6  38   1   9   0  65   6   2 
Bruce Sutter             TEW    cl  35  .167  .167  .167   6   1   0   0   0   0   0   0   0   1   0   0 
Billy Swift              NFG    sp  26  .247  .328  .293 259  64  10   1   0  18   7  24   1  28   3   0 
Greg Swindell*           CCC    sp  23  .239  .258  .400 155  37   3   2   6  13   0   4   0  24   1   0 
Greg Swindell*           CEN    sp  23  .249  .275  .364 558 139  25   6   9  44   2  19   1 101   3   3 
Greg Swindell*                  sp  23  .247  .271  .372 713 176  28   8  15  57   2  23   1 125   4   3 
Frank Tanana*            CCC    sp  34  .267  .322  .441 547 146  30   4  19  63   0  45   5  73   5   2 
Kent Tekulve             NEE    mr  41  .309  .331  .415 123  38  11   1   0  14   2   2   0  18   1   0 
Walt Terrell             FER    sp  30  .100  .182  .100  10   1   0   0   0   0   0   1   0   0   0   0 
Scott Terry              SUN    mr  28  .250  .305  .329 152  38   9   0   1  10   2  10   0  17   1   0 
Bob Tewksbury            FHK    sp  27  .111  .200  .222   9   1   1   0   0   0   0   1   0   3   0   0 
Bobby Thigpen            GBP    cl  24  .189  .267  .288 132  25   4   0   3  14   2  12   2  32   1   0 
Mark Thurmond*           CCC    mr  31  .415  .455  .780  41  17   3   3   2  11   0   3   1   5   0   0 
Jay Tibbs                BMB    sp  26  .319  .387  .468 141  45   9   0   4  11   1  16   0  16   2   2 
Fred Toliver             MAR    sp  27  .500  .500  .833   6   3   0   1   0   3   0   0   0   0   1   0 
Steve Trout*             FER    sp  30  .331  .404  .543 175  58  12   2   7  27   1  21   9  10   1   1 
John Tudor*              BAR    sp  34  .260  .298  .378 576 150  31   5   9  42   0  32   1  45   5   3 
Fernando Valenzuela*     NFG    sp  27  .281  .373  .459 270  76  11   2  11  40   0  40   0  31   3   1 
Ed Vande Berg*           NEE    mr  29  .314  .360  .471 153  48   7   1   5  20   0  11   1  18   1   0 
Frank Viola*             CTW    sp  28  .244  .288  .349 762 186  25   5  15  55   3  46   0 135   5   5 
Bob Walk                 CTW    sp  31  .220  .271  .278 410  90  15   0   3  38   4  25   0  43   6   0 
Duane Ward               FER    mr  24  .227  .285  .330 176  40   8   2   2  23   1  14   0  47   4   2 
Bill Wegman              CCC    sp  25  .257  .284  .401 377  97  16   1  12  41   1  14   0  47   6   2 
Bob Welch                CIN    sp  31  .297  .344  .447 340 101  17   2  10  46   8  17   1  67   5   1 
David Wells*             BAR    mr  25  .290  .361  .626 214  62  12   3  18  44   1  24   0  52   3   2 
David West*              BMB    sp  23  .500  .522  .813  16   8   5   0   0   8   0   4   1   3   0   3 
Ed Whitson               GBP    sp  33  .252  .302  .341 317  80  12   2   4  28   1  23   1  67   4   3 
Bill Wilkinson*          NEE    mr  23  .247  .284  .403  77  19   4   1   2   9   1   3   0  10   2   0 
Frank Williams           FHK    mr  30  .352  .438  .556  54  19   1   2   2   7   0   9   0  12   0   1 
Mitch Williams*          NFG    cl  23  .239  .357  .408 142  34   5   2   5  28   1  26   2  28   1   2 
Mark Williamson          BAR    mr  28  .244  .280  .436 266  65  10   1  13  32   2  12   1  42   1   2 
Carl Willis              BAR    mr  27  .222  .364  .611  18   4   1   0   2   2   1   3   0   4   0   0 
Steve Wilson*            BMB    mr  23  .235  .300  .235  17   4   0   0   0   2   0   2   0   0   0   1 
Trevor Wilson*           NEE    sp  22  .348  .408  .536  69  24   7   0   2   8   0   7   0  16   1   0 
Bobby Witt               FER    sp  24  .240  .335  .385 200  48   6   1   7  25   0  29   0  41   9   1 
Mike Witt                TEW    sp  27  .239  .314  .298 339  81  17   0   1  30   6  32   2  59   3   2 
Todd Worrell             RYK    cl  28  .195  .231  .276 123  24   2   1   2  13   0   6   1  32   1   1 
Floyd Youmans            EVN    sp  24  .203  .279  .383 133  27   3   0   7  17   2  12   0  31   0   0 

