                            League transaction log -- Seven More Minutes                            
                                           Regular season                                           

Date       Team    Player              Type                           OthTm    EffDate    When     
9/28/1999  CEN     Mahomes             Promoted to active roster                          Before   
9/28/1999  CEN     Thomson             Promoted to active roster                          Before   
9/28/1999  CEN     Wells,B             Demoted to reserve roster                          Before   
9/28/1999  NNN     Green,Sh            Demoted to reserve roster                          Before   
9/28/1999  TEW     Hermanson           Demoted to reserve roster                          Before   
9/28/1999  TEW     Leyritz             Demoted to reserve roster                          Before   
9/27/1999  BBG     Graffanino          Demoted to reserve roster                          Before   
9/27/1999  CEN     Radke               Demoted to reserve roster                          Before   
9/27/1999  CTW     Buhner              Demoted to reserve roster                          Before   
9/27/1999  DLM     Simms               Demoted to reserve roster                          Before   
9/27/1999  FER     Brower              Demoted to reserve roster                          Before   
9/27/1999  FFR     Dotel               Demoted to reserve roster                          Before   
9/27/1999  NNN     Wallace             Demoted to reserve roster                          Before   
9/26/1999  CIN     Bottalico           Promoted to active roster                          Before   
9/26/1999  CIN     Nomo                Demoted to reserve roster                          Before   
9/26/1999  CIN     Padilla             Demoted to reserve roster                          Before   
9/26/1999  DLM     Molina,J            Demoted to reserve roster                          Before   
9/26/1999  FLL     Cruz,N              Promoted to active roster                          Before   
9/26/1999  GAR     Abbott,P            Demoted to reserve roster                          Before   
9/25/1999  CIN     Boone,A             Demoted to reserve roster                          Before   
9/25/1999  CTW     Battle              Demoted to reserve roster                          Before   
9/25/1999  GAR     Cone                Demoted to reserve roster                          Before   
9/25/1999  GAR     Harnisch            Promoted to active roster                          Before   
9/25/1999  GAR     Hitchcock           Promoted to active roster                          Before   
9/25/1999  GAR     Parris              Promoted to active roster                          Before   
9/25/1999  GAR     Saberhagen          Demoted to reserve roster                          Before   
9/25/1999  GAR     Vazquez             Demoted to reserve roster                          Before   
9/25/1999  NEP     Olerud              Demoted to reserve roster                          Before   
9/25/1999  NEP     Valentin,Jos        Promoted to active roster                          Before   
9/25/1999  NEP     Washburn            Promoted to active roster                          Before   
9/25/1999  NNN     Reynoso             Demoted to reserve roster                          Before   
9/25/1999  TAR     Clark,W             Promoted to active roster                          Before   
9/25/1999  TAR     Franco,Jo           Promoted to active roster                          Before   
9/25/1999  TAR     Lieber              Demoted to reserve roster                          Before   
9/25/1999  TAR     Miceli              Promoted to active roster                          Before   
9/25/1999  TAR     Simas               Promoted to active roster                          Before   
9/24/1999  BAR     Lloyd               Promoted to active roster                          Before   
9/24/1999  BAR     Miller,Tra          Activated from disabled list                       Before   
9/24/1999  BAR     Perez,Y             Promoted to active roster                          Before   
9/24/1999  BAR     Seanez              Promoted to active roster                          Before   
9/24/1999  BAR     Timlin              Promoted to active roster                          Before   
9/24/1999  BBG     Milton              Demoted to reserve roster                          Before   
9/24/1999  CEN     Daal                Demoted to reserve roster                          Before   
9/24/1999  FDH     Mays                Promoted to active roster                          Before   
9/24/1999  FDH     Stanton             Demoted to reserve roster                          Before   
9/24/1999  MCL     Mussina             Demoted to reserve roster                          Before   
9/24/1999  NEP     Borbon              Promoted to active roster                          Before   
